numer_karty,nazwa,komorka,obszar,liczba_sekcji,liczba_wnioskow,url
MKZ-006,"Pozwolenie na podejmowanie innych działań, które mogłyby prowadzić do naruszenia substancji lub zmiany wyglądu zabytku wpisanego do rejestru zabytków",Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/pozwolenie-na-podejmowanie-innych-dzialan-ktore-moglyby-prowadzic-do-naruszenia-substancji-lub-zmiany-wygladu-zabytku-wpisanego-do-rejestru-zabytkow,4,22912,2,3.html"
MKZ-004,Pozwolenie na podział zabytku nieruchomego wpisanego do rejestru zabytków albo zmianę przeznaczenia lub sposobu korzystania z zabytku,Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/pozwolenie-na-podzial-zabytku-nieruchomego-wpisanego-do-rejestru-zabytkow-albo-zmiane-przeznaczenia-lub-sposobu-korzystania-z-zabytku,6,22912,2,3.html"
MKZ-003,"Pozwolenie na prowadzenie robót budowlanych na obszarze wpisanego do rejestru zabytków historycznego układu urbanistycznego, historycznego układu ruralistycznego, albo historycznego zespołu budowlanego",Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/pozwolenie-na-prowadzenie-robot-budowlanych-na-obszarze-wpisanego-do-rejestru-zabytkow-historycznego-ukladu-urbanistycznego-historycznego-ukladu-ruralistycznego-albo-historycznego-zespolu-budowlanego,7,22912,2,4.html"
MKZ-005,"Pozwolenie na umieszczanie na zabytku wpisanym do rejestru zabytków urządzeń technicznych, tablic reklamowych lub urządzeń reklamowych w rozumieniu art.2 pkt 16b i 16c ustawy z dnia 27 marca 2003 r. o planowaniu i zagospodarowaniu przestrzennym oraz napisów",Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/pozwolenie-na-umieszczanie-na-zabytku-wpisanym-do-rejestru-zabytkow-urzadzen-technicznych-tablic-reklam-oraz-napisow,5,22912,2,4.html"
MKZ-001,Przedstawienie zaleceń konserwatorskich,Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/przedstawienie-zalecen-konserwatorskich,9,22912,2,1.html"
MKZ-002,"Uzyskanie pozwolenia na prowadzenie prac konserwatorskich, prac restauratorskich, badań konserwatorskich lub badań architektonicznych przy zabytku wpisanym do rejestru",Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/uzyskanie-pozwolenia-na-prowadzenie-prac-konserwatorskich-prac-restauratorskich-badan-konserwatorskich-lub-badan-architektonicznych-przy-zabytku-wpisanym-do-rejestru,8,22912,2,4.html"
MKZ-008,Warunki na prowadzenie prac ziemnych w pasach zieleni na obszarze działania Miejskiego Konserwatora Zabytków,Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,8,0,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/warunki-na-prowadzenie-prac-ziemnych-w-pasach-zieleni-na-obszarze-dzialania-miejskiego-konserwatora-zabytkow,2,22912,2,2.html"
MKZ-009,"Wniosek o udzielenie dotacji celowej na prace konserwatorskie, restauratorskie lub roboty budowlane przy zabytku wpisanym do rejestru zabytków lub ujętym w gminnej ewidencji zabytków, położonym na obszarze miasta Lublin",Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,9,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/wniosek-o-udzielenie-dotacji-celowej-na-prace-konserwatorskie-restauratorskie-lub-roboty-budowlane-przy-zabytku-wpisanym-do-rejestru-zabytkow-polozonym-na-terenie-miasta-lublin,10,22912,2,2.html"
MKZ-011,Wniosek o wydanie zaświadczenia,Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,11,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/wniosek-o-wydanie-zaswiadczenia,19,22912,2,1.html"
MKZ-012,"Zaświadczenie dotyczące obszaru zdegradowanego, obszaru rewitalizacji oraz Gminnego Programu Rewitalizacji",Biuro Miejskiego Konserwatora Zabytków i Rewitalizacji,,11,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/biuro-miejskiego-konserwatora-zabytkow-i-rewitalizacji/zaswiadczenie-dotyczace-obszaru-zdegradowanego-obszaru-rewitalizacji-oraz-gminnego-programu-rewitalizacji,20,22912,2,4.html"
